title,abstract
The Sunyaev-Zel'dovich Effect and Large-Scale Structure,"  The thermal Sunyaev-Zel'dovich (tSZ) effect is the inverse-Compton scattering
of cosmic microwave background (CMB) photons off hot, ionized electrons,
primarily located in galaxy groups and clusters. Recent years have seen immense
improvement in our ability to probe cosmology and the astrophysics of the
intracluster medium using the tSZ signal. Here, I describe cross-correlations
of the tSZ effect measured in Planck data with gravitational lensing maps from
Planck and the Canada-France-Hawaii Telescope Lensing Survey, as well as
hydrodynamical simulations which show that such measurements do not probe
""missing baryons,"" but rather the pressure of ionized gas in groups and
clusters over a wide range of halo masses and redshifts. I also present recent
measurements of higher-order tSZ statistics using data from the Atacama
Cosmology Telescope, which yield strong constraints on the amplitude of density
fluctuations. I describe stacking analyses of tSZ data from Planck, focusing on
the behavior of the gas pressure in low-mass galaxy groups. I close with a
prediction for the tSZ monopole, including relativistic corrections, which is
the largest guaranteed spectral distortion signal for the proposed Primordial
Inflation Explorer mission. The tSZ monopole will yield a direct measurement of
the total thermal energy in ionized electrons in the observable universe.
"
Interacting Modified Holographic Dark Energy in Kaluza-Klein Universe,"  The interaction of modified holographic dark energy and dark matter with
varying $G$ in flat Kaluza Klein universe is considered. Further, we take
infrared cutoff scale $L$ as future event horizon. In this scenario, equations
of state parameter as well as evolution are explored. We also check the
validity of the generalized second law of thermodynamics. It is interesting to
mention here that our results show consistency with the present observations.
"
Low mass dimuons within a hybrid approach,"  We analyse dilepton emission from hot and dense hadronic matter using a
hybrid approach based on the Ultrarelativistic Quantum Molecular Dynamics
(UrQMD) transport model with an intermediate hydrodynamic stage for the
description of heavy-ion collisions at relativistic energies. Focusing on the
enhancement with respect to the contribution from long-lived hadron decays
after freeze-out observed at the SPS in the low mass region of the dilepton
spectra (often referred to as ""the excess""), the relative importance of the
emission from the equilibrium and the non-equilibrium stages is discussed.
"
Controlling growth of nanorod via screening effects,"  We demonstrate in this report that nanorods can spontaneously grow on the top
of a transient mound when the screening effect is considered in island growth.
The number of the topmost growing layers is defined as the active length, which
decreases as the screening effect is enhanced. It follows that the thickness of
the transient mound underneath the nanorod increases as the square of the
active length, and a smaller active length favors the formation of nanorod.
"
"Efficient demagnetization protocol for the artificial triangular spin
  ice","  In this work we study demagnetization protocols for an artificial spin ice in
a triangular geometry. Our results show that a simple hysteresis-like process
is very efficient in driving the system to its ground state, even for a
relatively strong disorder in the system, confirming previous expectations. In
addition, transitions between the magnetized state and the ground state were
observed to be mediated by the creation and propagation of vertices that behave
like magnetic monopoles pseudo-particles. This is an important step towards a
more detailed experimental study of monopole-like excitations in artificial
spin ice systems.
"
Power functional theory for Brownian dynamics,"  Classical density functional theory (DFT) provides an exact variational
framework for determining the equilibrium properties of inhomogeneous fluids.
We report a generalization of DFT to treat the non-equilibrium dynamics of
classical many-body systems subject to Brownian dynamics. Our approach is based
upon a dynamical functional consisting of reversible free energy changes and
irreversible power dissipation. Minimization of this `free power' functional
with respect to the microscopic one-body current yields a closed equation of
motion. In the equililibrium limit the theory recovers the standard variational
principle of DFT. The adiabatic dynamical density functional theory is obtained
when approximating the power dissipation functional by that of an ideal gas.
Approximations to the excess (over ideal) power dissipation yield numerically
tractable equations of motion beyond the adiabatic approximation, opening the
door to the systematic study of systems far from equilibrium.
"
"A regression Monte-Carlo method for Backward Doubly Stochastic
  Differential Equations","  This paper extends the idea of E.Gobet, J.P.Lemor and X.Warin from the
setting of Backward Stochastic Differential Equations to that of Backward
Doubly Stochastic Differential equations. We propose some numerical
approximation scheme of these equations introduced by E.Pardoux and S.Peng.
"
"Violation of Bell's inequality in electronic Mach-Zehnder
  interferometers","  We propose a possible setup of testing the Bell's inequality in mesoscopic
conductors. The particular implementation uses two coupled electronic
Mach-Zehnder interferometers in which electrons are injected into the
conductors in the quantum Hall regime. It is shown that the Bell's inequality
is violated for an arbitrary coupling strength between the two interferometers.
"
Chiral equivariant cohomology of a point: a first look,"  The chiral equivariant cohomology contains and generalizes the classical
equivariant cohomology of a manifold M with an action of a compact Lie group G.
For any simple G, there exist compact manifolds with the same classical
equivariant cohomology, which can be distinguished by this invariant. When M is
a point, this cohomology is an interesting conformal vertex algebra whose
structure is still mysterious. In this paper, we scratch the surface of this
object in the case G=SU(2).
"
On Simply Normal Numbers to Different Bases,"  Let s be an integer greater than or equal to 2. A real number is simply
normal to base s if in its base-s expansion every digit 0, 1, ..., s-1 occurs
with the same frequency 1/s. Let X be the set of positive integers that are not
perfect powers, hence X is the set {2,3, 5,6,7,10,11,...} . Let M be a function
from X to sets of positive integers such that, for each s in X, if m is in M(s)
then each divisor of m is in M(s) and if M(s) is infinite then it is equal to
the set of all positive integers. These conditions on M are necessary for there
to be a real number which is simply normal to exactly the bases s^m such that s
is in X and m is in M(s). We show these conditions are also sufficient and
further establish that the set of real numbers that satisfy them has full
Hausdorff dimension. This extends a result of W. M. Schmidt (1961/1962) on
normal numbers to different bases.
"
K-Circular Matroids of Graphs,"  In 30's Hassler Whitney considered and completely solved the problem $(WP)$
of describing the classes of graphs $G$ having the same cycle matroid $M(G)$. A
natural analog $(WP)'$ of Whitney's problem $(WP)$ is to describe the classes
of graphs $G$ having the same matroid $M'(G)$, where $M'(G)$ is a matroid (on
the edge set of $G$) distinct from $M(G)$. For example, the corresponding
problem $(WP)'= (WP)_{\theta }$ for the so-called bicircular matroid $M_{\theta
}(G)$ of graph $G$ was solved by Coulard, Del Greco and Wagner. We define the
so-called {\em $k$-circular matroid} $M_k(G)$ on the edge set of graph $G$ for
any non-negative integer $k$ so that $M(G) = M_0(G)$ and $M_{\theta }(G) =
M_1(G)$. It is natural to consider the corresponding analog $(WP)_k$ of
Whitney's problem $(WP)$ not only for $k=0$ and $k=1$ but also for any integer
$k \ge 2$. In this paper we give a characterization of the $k$-circular matroid
$M_k(G)$ by describing the main constituents (circuits, bases, and cocircuits)
in terms of graph $G$ and establish some important properties of the
$k$-circular matroid. The results of this paper will be used in our further
research on the problem $(WP)_k$. In our next paper we use these results to
study a particular problem of $(WP)_k$ on graphs uniquely defined by their
$k$-circular matroids.
"
QRB-Domains and the Probabilistic Powerdomain,"  Is there any Cartesian-closed category of continuous domains that would be
closed under Jones and Plotkin's probabilistic powerdomain construction? This
is a major open problem in the area of denotational semantics of probabilistic
higher-order languages. We relax the question, and look for quasi-continuous
dcpos instead. We introduce a natural class of such quasi-continuous dcpos, the
omega-QRB-domains. We show that they form a category omega-QRB with pleasing
properties: omega-QRB is closed under the probabilistic powerdomain functor,
under finite products, under taking bilimits of expanding sequences, under
retracts, and even under so-called quasi-retracts. But... omega-QRB is not
Cartesian closed. We conclude by showing that the QRB domains are just one half
of an FS-domain, merely lacking control.
"
"Forward Neutral Pion Transverse Single Spin Asymmetries in p+p
  Collisions at \sqrt{s}=200 GeV","  We report precision measurements of the Feynman-x dependence, and first
measurements of the transverse momentum dependence, of transverse single spin
asymmetries for the production of \pi^0 mesons from polarized proton collisions
at \sqrt{s}=200 GeV. The x_F dependence of the results is in fair agreement
with perturbative QCD model calculations that identify orbital motion of quarks
and gluons within the proton as the origin of the spin effects. Results for the
p_T dependence at fixed x_F are not consistent with pQCD-based calculations.
"
Semiclassical Strings on Curved Branes,"  We study semiclassical strings in the near horizon geometry of certain curved
branes. We investigate the rigidly rotating strings in the near horizon
geometry of NS5-branes wrapped on AdS3 x S3 and in the presence of background
NS-NS flux. We study several string solutions corresponding to giant magnon,
single spike and more general folded strings for the fundamental string in this
background. We comment that in the S-dual background the situation changes
drastically.
"
"Non-equilibrium phase and entanglement entropy in 2D holographic
  superconductors via Gauge-String duality","  An alternative method of developing the theory of non-equilibrium two
dimensional holographic superconductor is to start from the definition of a
time dependent $AdS_3$ background. As originally proposed, many of these
formulae were cast in exponential form, but the adoption of the numeric method
of expression throughout the bulk serves to show more clearly the relationship
between the various parameters. The time dependence behaviour of the scalar
condensation and Maxwell fields are fitted numerically. A usual value for
Maxwell field on AdS horizon is $\exp(-bt)$, and the exponential $\log$ ratio
is therefore $10^{-8} s^{-1}$. The coefficient $b$ of the time in the
exponential term $\exp(-bt)$ can be interpreted as a tool to measure the degree
of dynamical instability, its reciprocal $\frac{1}{b}$ is the time in which the
disturbance is multiplied in the ratio. A discussion of some of the exponential
formulae is given by the scalar field $\psi(z,t)$ near the AdS boundary. It
might be possible that a long interval would elapse the system which tends to
the equilibrium state when the normal mass and conformal dimensions emerged. A
somewhat curious calculation has been made, to illustrate the holographic
entanglement entropy for this system. The foundation of all this calculation
is, of course, a knowledge of multiple (connected and disconnected) extremal
surfaces. There are several cases in which exact and approximate solutions are
jointly used, a variable numerical quantity is represented by a graph, and the
principles of approximation are then applied to determine related numerical
quantities. In the case of the disconnected phase with a finite extremal are,
we find a discontinuity in the first derivative of the entanglement entropy as
the conserved charge $J$ is increased.
"
Fermion Resonances on a Thick Brane with a Piecewise Warp Factor,"  In this paper, we mainly investigate the problems of resonances of massive KK
fermions on a single scalar constructed thick brane with a piecewise warp
factor matching smoothly. The distance between two boundaries and the other
parameters are determined by one free parameter through three junction
conditions. For the generalized Yukawa coupling $\eta\bar{\Psi}\phi^{k}\Psi$
with odd $k=1,3,5,...$, the mass eigenvalue $m$, width $\Gamma$, lifetime
$\tau$, and maximal probability $P_{max}$ of fermion resonances are obtained.
Our numerical calculations show that the brane without internal structure also
favors the appearance of resonant states for both left- and right-handed
fermions. The scalar-fermion coupling and the thickness of the brane influence
the resonant behaviors of the massive KK fermions.
"
"Measuring Cost of Quality (CoQ) on SDLC Projects is Indispensible for
  Effective Software Quality Assurance","  It is well known fact that was phrased by famous quality scholar P.B. Crosby
that it is always cheaper to do the job right the first time. However, this
statement must be reconsidered with respect to software development projects,
because the concept of quality and associated costs measurements in software
engineering discipline is not as matured as in manufacturing and other fields
of the industry. Post delivery defects (i.e. software bugs) are very common and
integral part of software industry. While the process of measuring and
classifying quality cost components is visible, obvious and institutionalized
in manufacturing industry, it is still evolving in software industry. In
addition to this, the recommendations of British standard BS-6143-2:1990 for
classifying quality-related costs into prevention costs, appraisal costs, and
failure costs have been successfully adopted by many industries, by identifying
the activities carried out within each of these categories, and measuring the
costs connected with them, software industry has a long-way to go to have the
same level of adoption and institutionalization of cost of quality measurements
and visibility. Cost of Quality for software isn't the price of creating a
quality software product or IT-service. It's actually the cost of NOT creating
a quality software product or IT-service. The chronic affliction of majority of
software development projects that are frequently found bleeding with cost
overruns, schedule slippage, scope creep and poor quality of deliverables in
the global IT industry, was the trigger for this research work. Lessons learnt
from this study offer valuable prescriptive guidance for small and medium
software businesses, who can benefit from this study by applying the same for
their quality improvement initiatives using CoQ-metric, to enhance the
capability and maturity of their SDLC-project performance.
"
Quasi-projectivity of normal varieties,"  We prove that a normal variety contains finitely many maximal
quasi-projective open subvarieties. As a corollary, we obtain the following
generalization of the Chevalley-Kleiman projectivity criterion : a normal
variety is quasi-projective if and only if every finite subset is contained in
an affine open subvariety. The proof builds on a strategy of Wlodarczyk, using
results of Boissiere, Gabber and Serman.
"
"E\""otv\""os branes","  The high value of brane tension has a crucial role in recovering Einstein's
general relativity at low energies. In the framework of a recently developed
formalism with variable brane tension one can pose the question, whether it was
always that high? In analogy with fluid membranes, in this paper we allow for
temperature dependent brane tension, according to the corresponding law
established by E\""otv\""os. For cosmological branes this assumption leads to
several immediate consequences: (a) The brane Universe was created at a finite
temperature $T_{c}$ and scale factor $a_{\min}$. (b) Both the brane tension and
the 4-dimensional gravitational coupling 'constant' increase with the scale
factor from zero to asymptotic values. (c) The 4-dimensional cosmological
'constant' evolves with $a$, starting with a huge negative value, passing
through zero, finally reaching a small positive value. Such a scale-factor
dependent cosmological constant is able to generate a surplus of attraction at
small $a$ (as dark matter does) and a late-time repulsion at large $a$ (dark
energy). In the particular toy model discussed here the evolution of the brane
tension is compensated by energy interchange between the brane and the fifth
dimension, such that the continuity equation holds for the cosmological fluid.
The resulting cosmology closely mimics the standard model at late times, a
decelerated phase being followed by an accelerated expansion. The energy
absorption of the brane drives the 5D space-time towards maximal symmetry,
becoming Anti de Sitter.
"
Charged Radial Infall for Spherical Central Bodies,"  A massive, charged, spherical central body can be neutralized by attracting
particles of opposite charge. We calculate the time it takes to neutralize
these central bodies using classical mechanics, special relativistic mechanics,
and finally, the ""forced"" trajectories of general relativity. While we can
compare the classical and (special) relativistic times, and find, predictably,
that the special relativistic neutralization time is longer, a comparison of
these times with the general relativistic result is not as directly possible.
We offer the final calculation as a demonstration of dynamics in a general
setting and in particular, the structural similarity of the (general)
relativistic problem to the other cases.
"
Pancake Flipping is Hard,"  Pancake Flipping is the problem of sorting a stack of pancakes of different
sizes (that is, a permutation), when the only allowed operation is to insert a
spatula anywhere in the stack and to flip the pancakes above it (that is, to
perform a prefix reversal). In the burnt variant, one side of each pancake is
marked as burnt, and it is required to finish with all pancakes having the
burnt side down. Computing the optimal scenario for any stack of pancakes and
determining the worst-case stack for any stack size have been challenges over
more than three decades. Beyond being an intriguing combinatorial problem in
itself, it also yields applications, e.g. in parallel computing and
computational biology. In this paper, we show that the Pancake Flipping
problem, in its original (unburnt) variant, is NP-hard, thus answering the
long-standing question of its computational complexity.
"
"Fresnel versus Kummer surfaces: geometrical optics in dispersionless
  linear (meta)materials and vacuum","  Geometrical optics describes, with good accuracy, the propagation of
high-frequency plane waves through an electromagnetic medium. Under such
approximation, the behaviour of the electromagnetic fields is characterised by
just three quantities: the temporal frequency $\omega$, the spatial wave
(co)vector $k$, and the polarisation (co)vector $a$. Numerous key properties of
a given optical medium are determined by the Fresnel surface, which is the
visual counterpart of the equation relating $\omega$ and $k$. For instance, the
propagation of electromagnetic waves in a uniaxial crystal, such as calcite, is
represented by two light-cones. Kummer, whilst analysing quadratic line
complexes as models for light rays in an optical apparatus, discovered in the
framework of projective geometry a quartic surface that is linked to the
Fresnel one. Given an arbitrary dispersionless linear (meta)material or vacuum,
we aim to establish whether the resulting Fresnel surface is equivalent to, or
is more general than, a Kummer surface.
"
$\mathcal{N}=2^\star$ from Topological Amplitudes in String Theory,"  In this paper, we explicitly construct string theory backgrounds that realise
the so-called $\mathcal N=2^\star$ gauge theory. We prove the consistency of
our models by calculating their partition function and obtaining the correct
gauge theory spectrum. We further provide arguments in favour of the
universality of our construction which covers a wide class of models all of
which engineer the same gauge theory. We reproduce the corresponding Nekrasov
partition function once the $\Omega$-deformation is included and the
appropriate field theory limit taken. This is achieved by calculating the
topological amplitudes $F_g$ in the string models. In addition to heterotic and
type II constructions, we also realise the mass deformation in type I theory,
thus leading to a natural way of uplifting the result to the instanton sector.
"
Hot Galactic Winds Constrained by the X-Ray Luminosities of Galaxies,"  Galactic superwinds may be driven by very hot outflows generated by
overlapping supernovae within the host galaxy. We use the Chevalier & Clegg
(CC85) wind model and the observed correlation between X-ray luminosities of
galaxies and their SFRs to constrain the mass loss rates (\dot{M}_hot) across a
wide range of star formation rates (SFRs), from dwarf starbursts to
ultra-luminous infrared galaxies. We show that for fixed thermalization
efficiency and mass loading rate, the X-ray luminosity of the hot wind scales
as L_X ~ SFR^2, significantly steeper than is observed for star-forming
galaxies: L_X ~ SFR. Using this difference we constrain the mass-loading and
thermalization efficiency of hot galactic winds. For reasonable values of the
thermalization efficiency (<~ 1) and for SFR >~ 10 M_sun/yr we find that
\dot{M}_hot/SFR <~ 1, significantly lower than required by integrated
constraints on the efficiency of stellar feedback in galaxies, and potentially
too low to explain observations of winds from rapidly star-forming galaxies. In
addition, we highlight the fact that heavily mass-loaded winds cannot be
described by the adiabatic CC85 model because they become strongly radiative.
"
Improved constraints on cosmological parameters from SNIa data,"  We present a new method based on a Bayesian hierarchical model to extract
constraints on cosmological parameters from SNIa data obtained with the SALT-II
lightcurve fitter. We demonstrate with simulated data sets that our method
delivers tighter statistical constraints on the cosmological parameters over
90% of the time, that it reduces statistical bias typically by a factor ~ 2-3
and that it has better coverage properties than the usual chi-squared approach.
As a further benefit, a full posterior probability distribution for the
dispersion of the intrinsic magnitude of SNe is obtained. We apply this method
to recent SNIa data, and by combining them with CMB and BAO data we obtain
Omega_m=0.28 +/- 0.02, Omega_Lambda=0.73 +/- 0.01 (assuming w=-1) and
Omega_m=0.28 +/- 0.01, w=-0.90 +/- 0.05 (assuming flatness; statistical
uncertainties only). We constrain the intrinsic dispersion of the B-band
magnitude of the SNIa population, obtaining sigma_mu^int = 0.13 +/- 0.01 [mag].
Applications to systematic uncertainties will be discussed in a forthcoming
paper.
"
Cuspidal representations of sl(n+1),"  In this paper we study the subcategory of cuspidal modules of the category of
weight modules over the Lie algebra sl(n+1). Our main result is a complete
classification and explicit description of the indecomposable cuspidal modules.
"
"The statistical strength of experiments to reject local realism with
  photon pairs and inefficient detectors","  Because of the fundamental importance of Bell's theorem, a loophole-free
demonstration of a violation of local realism (LR) is highly desirable. Here,
we study violations of LR involving photon pairs. We quantify the experimental
evidence against LR by using measures of statistical strength related to the
Kullback-Leibler (KL) divergence, as suggested by van Dam et al. [W. van Dam,
R. Gill and P. Grunwald, IEEE Trans. Inf. Theory. 51, 2812 (2005)].
Specifically, we analyze a test of LR with entangled states created from two
independent polarized photons passing through a polarizing beam splitter. We
numerically study the detection efficiency required to achieve a specified
statistical strength for the rejection of LR depending on whether photon
counters or detectors are used. Based on our results, we find that a test of LR
free of the detection loophole requires photon counters with efficiencies of at
least 89.71%, or photon detectors with efficiencies of at least 91.11%. For
comparison, we also perform this analysis with ideal unbalanced Bell states,
which are known to allow rejection of LR with detector efficiencies above 2/3.
"
"CHUF and `unfreezing' (or de-arrest) of kinetic arrest in magnetic shape
  memory alloys","  CHUF (cooling and heating in unequal field) protocol allows establishing
phase coexistence through macroscopic measurements and enables distinguishing
the metastable and stable phases (amongst the coexisting phase fractions across
a first order magnetic transition) of a glass-like arrested state (GLAS). The
observation of kinetic arrest in magnetic shape memory alloys has become a very
active area of research. We highlight recent CHUF measurements on these
materials that show behaviour similar to that reported earlier in manganites
and other intermetallic alloys, emphasizing the generality. The martensitic
transition provides an opportunity to study various properties as the CHUF
protocol enables tuning of phase fractions, and controlled devitrification, of
GLAS.
"
"A STIS Survey for OVI Absorption Systems at 0.12 < z < 0.5 II.: Physical
  Conditions of the Ionised Gas","  We present a complete catalogue of 27 O VI absorbers at low redshift (0.12 <
z < 0.5) from a blind survey of 16 QSO echelle spectra in the HST/STIS data
archive. These absorbers are identified based only upon matching line profiles
and the expected doublet ratio between the \lambda\lambda 1031, 1037
transitions. Subsequent searches are carried out to identify their associated
transitions. Here we present all relevant absorption properties. By considering
absorption components of different species which are well-aligned in
velocity-space, we derive gas temperatures and non-thermal broadening values,
b_{nt}. We show that in all 16 cases considered the observed line width is
dominated by non-thermal motion and that gas temperatures are well below those
expected for O^5+ in collisional ionization equilibrium. This result reaffirms
previous findings from studies of individual lines of sight, but are at odds
with expectations for a WHIM origin. At least half of the absorbers can be
explained by a simple photoionization model. In addition, in some absorbers we
find evidence for large variation in gas density/metallicity across components
in individual absorbers. Comparisons of multiple associated metal species
further show that under the assumption of the gas being photoionized by the
metagalacitic background radiation field, the absorbing clouds have gas
densities <n_H> < -2.9 and sizes L > 1\kpc. Finally, we compare our absorber
selection with the results of other independent studies.
"
"Effects of thermal treatment on radiative properties of HVPE grown InP
  layers","  Radiative efficiency of highly luminescent bulk InP wafers severely degrades
upon heat treatment involved in epitaxial growth of quaternary layers and
fabrication of photodiodes on the surface. This unfortunate property impedes
the use of bulk InP as scintillator material. On the other hand, it is known
that thin epitaxial InP layers, grown by molecular beam epitaxy (MBE) or
metal-organic chemical vapor deposition (MOCVD), do not exhibit any
degradation. These layers, however, are too thin to be useful in scintillators.
The capability of hydride vapor phase epitaxy (HVPE) process to grow thick
bulk-like layers in reasonable time is well known, but the radiative properties
of HVPE InP layers are not known. We have studied radiative properties of 21
micron thick InP layers grown by HVPE and found them comparable to those of
best luminescent bulk InP virgin wafers. In contrast to the bulk wafers, the
radiative efficiency of HVPE layers does not degrade upon heat treatment. This
opens up the possibility of implementing free-standing epitaxial InP
scintillator structures endowed with surface photodiodes for registration of
the scintillation.
"
Theoretical Emission Spectra of Atmospheres of Hot Rocky Super-Earths,"  Motivated by recent detection of transiting high-density super-Earths, we
explore the detectability of hot rocky super-Earths orbiting very close to
their host stars. In the environment hot enough for their rocky surfaces to be
molten, they would have the atmosphere composed of gas species from the magma
oceans. In this study, we investigate the radiative properties of the
atmosphere that is in the gas/melt equilibrium with the underlying magma ocean.
Our equilibrium calculations yield Na, K, Fe, Si, SiO, O, and O$_2$ as the
major atmospheric species. We compile the radiative-absorption line data of
those species available in literature, and calculate their absorption opacities
in the wavelength region of 0.1--100~$\mathrm{\mu m}$. Using them, we integrate
the thermal structure of the atmosphere. Then, we find that thermal inversion
occurs in the atmosphere because of the UV absorption by SiO. In addition, we
calculate the ratio of the planetary to stellar emission fluxes during
secondary eclipse, and find prominent emission features induced by SiO at
4~$\mathrm{\mu m}$ detectable by Spitzer, and those at 10 and 100~$\mathrm{\mu
m}$ detectable by near-future space telescopes.
"
