query,success,latency,papers_retrieved,input_tokens,output_tokens,paper_details,error
Multi-modal learning with vision and language,True,6.283800363540649,3,11,314,"[{'score': 0.8462, 'title': 'The bimodality of type Ia Supernovae', 'date': '2009-09-29'}, {'score': 0.8417, 'title': 'Birth, survival and death of languages by Monte Carlo simulation', 'date': '2007-05-23'}, {'score': 0.8079, 'title': 'Mathematics of thermoacoustic tomography', 'date': '2008-03-02'}]",
Object detection and semantic segmentation techniques,True,6.4751527309417725,3,13,336,"[{'score': 0.8184, 'title': 'Personalizing Image Search Results on Flickr', 'date': '2007-05-23'}, {'score': 0.8157, 'title': 'Mathematics of thermoacoustic tomography', 'date': '2008-03-02'}, {'score': 0.7786, 'title': 'Detecting the Most Distant (z>7) Objects with ALMA', 'date': '2009-06-23'}]",
Natural language understanding with BERT and GPT,True,6.772603273391724,2,12,285,"[{'score': 0.8846, 'title': 'Intelligent location of simultaneously active acoustic emission sources:', 'date': '2009-09-29'}, {'score': 0.8417, 'title': 'Pairwise comparisons of typological profiles (of languages)', 'date': '2007-05-23'}]",
Adversarial robustness in deep learning,True,8.378463745117188,3,9,711,"[{'score': 0.8685, 'title': 'Simulation of Robustness against Lesions of Cortical Networks', 'date': '2008-08-27'}, {'score': 0.844, 'title': 'Learning from compressed observations', 'date': '2016-11-15'}, {'score': 0.7985, 'title': 'Evolution favors protein mutational robustness in sufficiently large', 'date': '2009-04-16'}]",
Continual learning and lifelong learning systems,True,6.617080211639404,2,12,590,"[{'score': 0.854, 'title': 'The World as Evolving Information', 'date': '2013-04-05'}, {'score': 0.8427, 'title': 'Turbulence and the Navier-Stokes equations', 'date': '2007-05-23'}]",
Federated learning for privacy-preserving AI,True,7.377929925918579,3,11,654,"[{'score': 0.8564, 'title': 'The effectiveness of quantum operations for eavesdropping on sealed', 'date': '2009-11-13'}, {'score': 0.8431, 'title': 'On-line Viterbi Algorithm and Its Relationship to Random Walks', 'date': '2010-01-25'}, {'score': 0.8027, 'title': 'Learning from compressed observations', 'date': '2016-11-15'}]",
Neural style transfer and image generation,True,7.765249252319336,3,10,839,"[{'score': 0.837, 'title': 'Visualizing Teleportation', 'date': '2008-05-14'}, {'score': 0.8088, 'title': 'Behavioral response to strong aversive stimuli: A neurodynamical model', 'date': '2007-05-23'}, {'score': 0.7544, 'title': 'Teaching for transfer', 'date': '2007-05-23'}]",
Optimization algorithms for deep neural networks,True,7.264782667160034,3,12,508,"[{'score': 0.8726, 'title': 'Genetic Optimization of Photonic Bandgap Structures', 'date': '2009-11-13'}, {'score': 0.8724, 'title': 'Modeling the field of laser welding melt pool by RBFNN', 'date': '2007-05-23'}, {'score': 0.8606, 'title': 'Cross-Layer Optimization of MIMO-Based Mesh Networks with Gaussian', 'date': '2007-07-13'}]",
Batch normalization and layer normalization techniques,True,5.873938083648682,3,13,310,"[{'score': 0.8255, 'title': 'Mathematics of thermoacoustic tomography', 'date': '2008-03-02'}, {'score': 0.8107, 'title': 'Contrasting Two Transformation-Based Methods for Obtaining Absolute', 'date': '2008-03-30'}, {'score': 0.7998, 'title': 'Modeling the field of laser welding melt pool by RBFNN', 'date': '2007-05-23'}]",
Gradient descent variants and adaptive learning rates,True,6.828994274139404,3,13,388,"[{'score': 0.8, 'title': 'Effects of accelerating growth on the evolution of weighted complex', 'date': '2008-11-20'}, {'score': 0.762, 'title': 'Learning from compressed observations', 'date': '2016-11-15'}, {'score': 0.7289, 'title': 'An adaptive numerical method for the Vlasov equation based on a', 'date': '2007-05-23'}]",
Regularization methods to prevent overfitting,True,5.9091246128082275,2,11,249,"[{'score': 0.8197, 'title': 'Counting characters in linear group actions', 'date': '2007-05-23'}, {'score': 0.8172, 'title': 'Scalar self-force on eccentric geodesics in Schwarzschild spacetime: a', 'date': '2008-11-26'}]",
Knowledge distillation for model compression,True,7.503283262252808,3,11,783,"[{'score': 0.8048, 'title': 'Extraction of physical laws from joint experimental data', 'date': '2007-10-10'}, {'score': 0.7848, 'title': 'Universal Source Coding for Monotonic and Fast Decaying Monotonic', 'date': '2007-07-13'}, {'score': 0.7577, 'title': 'Experimental modeling of physical laws', 'date': '2015-05-13'}]",
Data augmentation strategies for training,True,6.0223388671875,2,10,565,"[{'score': 0.8354, 'title': 'Teaching for transfer', 'date': '2007-05-23'}, {'score': 0.8123, 'title': 'Unit groups of integral finite group rings with no noncyclic abelian', 'date': '2007-05-23'}]",
Active learning for efficient labeling,True,6.207803010940552,3,9,478,"[{'score': 0.8072, 'title': 'Exploiting Social Annotation for Automatic Resource Discovery', 'date': '2016-09-08'}, {'score': 0.802, 'title': 'Gamma-ray emitting AGN and GLAST', 'date': '2009-06-23'}, {'score': 0.7883, 'title': 'Driven activation versus thermal activation', 'date': '2010-11-12'}]",
Curriculum learning and training strategies,True,6.613075494766235,3,10,609,"[{'score': 0.8782, 'title': 'Real Options for Project Schedules (ROPS)', 'date': '2007-05-23'}, {'score': 0.869, 'title': 'Mathematics of thermoacoustic tomography', 'date': '2008-03-02'}, {'score': 0.796, 'title': 'Teaching for transfer', 'date': '2007-05-23'}]",
Zero-shot and one-shot learning approaches,True,7.285757064819336,3,10,410,"[{'score': 0.7523, 'title': 'Learning from compressed observations', 'date': '2016-11-15'}, {'score': 0.7506, 'title': 'Lessons Learned from the deployment of a high-interaction honeypot', 'date': '2016-08-14'}, {'score': 0.7487, 'title': 'Empirical analysis and statistical modeling of attack processes based on', 'date': '2007-05-23'}]",
Domain adaptation and transfer learning,True,7.4723429679870605,3,9,723,"[{'score': 0.8271, 'title': 'Domain Wall Dynamics near a Quantum Critical Point', 'date': '2007-11-15'}, {'score': 0.8251, 'title': 'An adaptive numerical method for the Vlasov equation based on a', 'date': '2007-05-23'}, {'score': 0.566, 'title': 'Teaching for transfer', 'date': '2007-05-23'}]",
Speech recognition with deep learning,True,6.3269453048706055,3,9,541,"[{'score': 0.8895, 'title': 'Non-Associativity of Lorentz Transformation and Associative Reflection', 'date': '2007-05-23'}, {'score': 0.8857, 'title': 'Hybrid-ARQ in Multihop Networks with Opportunistic Relay Selection', 'date': '2012-08-27'}, {'score': 0.8799, 'title': 'Eternal inflation and localization on the landscape', 'date': '2009-02-09'}]",
Machine translation using neural networks,True,5.962521076202393,3,10,205,"[{'score': 0.8702, 'title': 'General Relativity Today', 'date': '2015-05-13'}, {'score': 0.8602, 'title': 'On-line Viterbi Algorithm and Its Relationship to Random Walks', 'date': '2010-01-25'}, {'score': 0.8275, 'title': 'Behavioral response to strong aversive stimuli: A neurodynamical model', 'date': '2007-05-23'}]",
Question answering systems and reading comprehension,True,5.228084564208984,3,13,401,"[{'score': 0.8758, 'title': 'General System theory, Like-Quantum Semantics and Fuzzy Sets', 'date': '2010-04-26'}, {'score': 0.8729, 'title': 'Exploiting Social Annotation for Automatic Resource Discovery', 'date': '2016-09-08'}, {'score': 0.8642, 'title': 'Radio Astrometric Detection and Characterization of Extra-Solar Planets:', 'date': '2007-05-23'}]",
Sentiment analysis and text classification,True,6.662067890167236,3,10,394,"[{'score': 0.8877, 'title': 'Pairwise comparisons of typological profiles (of languages)', 'date': '2007-05-23'}, {'score': 0.8874, 'title': 'Extraction of physical laws from joint experimental data', 'date': '2007-10-10'}, {'score': 0.8794, 'title': 'Personalizing Image Search Results on Flickr', 'date': '2007-05-23'}]",
Named entity recognition in NLP,True,7.004516839981079,3,7,316,"[{'score': 0.8708, 'title': 'Intelligent location of simultaneously active acoustic emission sources:', 'date': '2007-05-23'}, {'score': 0.8537, 'title': 'Exploiting Social Annotation for Automatic Resource Discovery', 'date': '2016-09-08'}, {'score': 0.837, 'title': 'Intelligent location of simultaneously active acoustic emission sources:', 'date': '2009-09-29'}]",
Image captioning and visual question answering,True,7.3548829555511475,3,11,635,"[{'score': 0.8579, 'title': 'Capacity of a Multiple-Antenna Fading Channel with a Quantized Precoding', 'date': '2010-08-27'}, {'score': 0.8383, 'title': 'Ultraviolet Observations of Supernovae', 'date': '2009-06-23'}, {'score': 0.7801, 'title': 'Personalizing Image Search Results on Flickr', 'date': '2007-05-23'}]",
Video understanding and action recognition,True,9.119045734405518,3,10,762,"[{'score': 0.8559, 'title': 'Stars and the holographic upper bound on gravitational action', 'date': '2008-12-22'}, {'score': 0.848, 'title': 'On-line Viterbi Algorithm and Its Relationship to Random Walks', 'date': '2010-01-25'}, {'score': 0.8345, 'title': 'Stochastic action principle and maximum entropy', 'date': '2020-11-25'}]",
3D object recognition and point cloud processing,True,6.657874584197998,3,12,337,"[{'score': 0.8568, 'title': 'Creation of Quark-gluon Plasma in Celestial Laboratories', 'date': '2007-05-23'}, {'score': 0.8507, 'title': 'Measurement of the Aerosol Phase Function at the Pierre Auger', 'date': '2008-11-26'}, {'score': 0.8109, 'title': 'Detecting the Most Distant (z>7) Objects with ALMA', 'date': '2009-06-23'}]",
Anomaly detection using machine learning,True,8.23257303237915,3,10,589,"[{'score': 0.8459, 'title': 'Exploiting Social Annotation for Automatic Resource Discovery', 'date': '2016-09-08'}, {'score': 0.8393, 'title': 'Learning from compressed observations', 'date': '2016-11-15'}, {'score': 0.8169, 'title': 'A general approach to statistical modeling of physical laws:', 'date': '2007-05-23'}]",
Recommendation systems with neural networks,True,7.161306142807007,3,10,746,"[{'score': 0.8507, 'title': 'Intelligent location of simultaneously active acoustic emission sources:', 'date': '2009-09-29'}, {'score': 0.8494, 'title': 'Behavioral response to strong aversive stimuli: A neurodynamical model', 'date': '2007-05-23'}, {'score': 0.8462, 'title': 'Exploiting Social Annotation for Automatic Resource Discovery', 'date': '2016-09-08'}]",
Capsule networks and their applications,True,8.421608686447144,3,9,679,"[{'score': 0.8015, 'title': 'Simulation of Robustness against Lesions of Cortical Networks', 'date': '2008-08-27'}, {'score': 0.7588, 'title': 'Transfer of a Polaritonic Qubit through a Coupled Cavity Array', 'date': '2015-05-13'}, {'score': 0.7563, 'title': 'A High Robustness and Low Cost Model for Cascading Failures', 'date': '2016-09-08'}]",
Memory-augmented neural networks,True,7.475330829620361,3,8,720,"[{'score': 0.8363, 'title': 'Behavioral response to strong aversive stimuli: A neurodynamical model', 'date': '2007-05-23'}, {'score': 0.8265, 'title': 'Effects of accelerating growth on the evolution of weighted complex', 'date': '2008-11-20'}, {'score': 0.8171, 'title': 'Quantum memory for images - a quantum hologram', 'date': '2009-11-13'}]",
Neural ordinary differential equations,True,6.2253546714782715,3,9,555,"[{'score': 0.7336, 'title': 'Transient Dynamics of Sparsely Connected Hopfield Neural Networks with', 'date': '2011-11-09'}, {'score': 0.7244, 'title': 'Evolutionary Neural Gas (ENG): A Model of Self Organizing Network from', 'date': '2010-04-26'}, {'score': 0.6397, 'title': 'Behavioral response to strong aversive stimuli: A neurodynamical model', 'date': '2007-05-23'}]",
Causal inference in machine learning,True,8.197074174880981,3,9,686,"[{'score': 0.8087, 'title': 'Composite Structure and Causality', 'date': '2008-11-26'}, {'score': 0.8047, 'title': 'A general approach to statistical modeling of physical laws:', 'date': '2007-05-23'}, {'score': 0.7867, 'title': 'Extraction of physical laws from joint experimental data', 'date': '2007-10-10'}]",
Bayesian deep learning and uncertainty quantification,True,8.716675519943237,3,13,752,"[{'score': 0.8377, 'title': 'Tests of Bayesian Model Selection Techniques for Gravitational Wave', 'date': '2008-11-26'}, {'score': 0.8085, 'title': 'Algebraic geometry of Gaussian Bayesian networks', 'date': '2007-05-23'}, {'score': 0.7569, 'title': 'Assessment and Propagation of Input Uncertainty in Tree-based Option', 'date': '2007-05-23'}]",
Neural rendering and implicit representations,True,8.137733459472656,3,11,617,"[{'score': 0.7952, 'title': 'Evolutionary Neural Gas (ENG): A Model of Self Organizing Network from', 'date': '2010-04-26'}, {'score': 0.7935, 'title': 'Algebraic geometry of Gaussian Bayesian networks', 'date': '2007-05-23'}, {'score': 0.7324, 'title': 'Behavioral response to strong aversive stimuli: A neurodynamical model', 'date': '2007-05-23'}]",
Energy-based models for generative learning,True,8.362431287765503,3,10,690,"[{'score': 0.8197, 'title': 'Learning from compressed observations', 'date': '2016-11-15'}, {'score': 0.7766, 'title': 'Effective conservation of energy and momentum algorithm using switching', 'date': '2007-05-23'}, {'score': 0.738, 'title': 'Evolutionary Neural Gas (ENG): A Model of Self Organizing Network from', 'date': '2010-04-26'}]",
deep learning models,True,6.844942808151245,3,5,595,"[{'score': 0.8878, 'title': 'A general approach to statistical modeling of physical laws:', 'date': '2007-05-23'}, {'score': 0.8866, 'title': '3d Numerical Models of the Chromosphere, Transition Region, and Corona', 'date': '2007-05-23'}, {'score': 0.8624, 'title': 'Power Spectra to 1% Accuracy between Dynamical Dark Energy Cosmologies', 'date': '2009-06-23'}]",
Vision transformers,True,6.130062103271484,3,4,524,"[{'score': 0.8432, 'title': 'Geometrically Engineering the Standard Model: Locally Unfolding Three', 'date': '2008-11-26'}, {'score': 0.8219, 'title': 'Generalized Twistor Transform And Dualities, With A New Description of', 'date': '2008-11-26'}, {'score': 0.7671, 'title': 'Contrasting Two Transformation-Based Methods for Obtaining Absolute', 'date': '2008-03-30'}]",
Diffusion models,True,5.750517845153809,2,4,470,"[{'score': 0.7044, 'title': 'Algorithm for anisotropic diffusion in hydrogen-bonded networks', 'date': '2009-04-16'}, {'score': 0.6694, 'title': 'Probability distributions generated by fractional diffusion equations', 'date': '2007-05-23'}]",
